group,sex,band,n,pop,share_with_minor_child,mean_kids,mean_kids_if_parent,mean_child_years,mean_sole_child_years,share_any_child_under16,mean_years_to_16_max
third_plus_nh_white,female,65-74,4641,12161160.39,0.0074603086457607345,0.011730916740256888,1.5724438890236663,0.08252441032068322,0.01841960000660759,0.005357920454168107,0.03811549598352102
third_plus_nh_white,female,75+,3649,9333611.75,0.005922790821034526,0.009021708022084804,1.5232190861856227,0.07436270851956103,0.030674995668209575,0.00510712479550052,0.04415572781886926
third_plus_nh_white,all,18-24,4987,13832326.099999998,0.04606053568965527,0.05698229815446587,1.23711757367302,0.8960882139700278,0.25249089956026993,0.04567488038038664,0.6551431317108697
third_plus_nh_white,all,25-34,8075,21209374.81,0.3357415484327518,0.6248317632517713,1.861049864601204,8.137316228134496,0.9105976391578513,0.33455185141310634,4.29890858956441
third_plus_nh_white,all,35-44,10359,22045949.17,0.5934388947881257,1.2201905993054596,2.056135197779885,11.408756142931813,0.9789354535647783,0.5689942053876195,5.435426364996921
third_plus_nh_white,all,45-54,8937,20431741.05,0.3796152951928685,0.645481255744478,1.700356292062818,3.649770404172189,0.33582204194977305,0.3041297594166602,1.6538916589293795
third_plus_nh_white,all,55-64,8916,23960790.46,0.055453187248481126,0.07727103048168803,1.3934461536979466,0.38106761733268796,0.0351868850657275,0.03655330409329075,0.17327552473408675
third_plus_nh_white,all,65-74,8810,23016940.42,0.009929949673128623,0.016908425833254165,1.7027705466634895,0.12191087645870527,0.017680139609102745,0.006905524674421518,0.052063941520164914
third_plus_nh_white,all,75+,6714,17394419.93,0.005244446228567049,0.007955074130488696,1.516856839365913,0.06453057213273798,0.017878664034299878,0.004590509503699213,0.036576384987849375
mexico_born,male,18-24,137,331758.6,0.10741183499086386,0.17187967395570153,1.6001930696959152,2.354784472806432,0.1971543164216391,0.10741183499086386,1.390732900367918
mexico_born,male,25-34,433,992947.1600000001,0.3434594747216961,0.6828405551812042,1.9881255444605428,7.807272866362797,0.30281315271600145,0.34206566440051045,4.037719942720818
mexico_born,male,35-44,620,1402073.14,0.5196578546537166,1.0989932878965216,2.11484013578291,9.135235969216271,0.5353464156655907,0.48572517408043353,4.408463284590132
mexico_born,male,45-54,629,1500505.56,0.383277800050271,0.6587594917009171,1.7187520164604204,3.913465045740984,0.08469264185865463,0.32351765494291135,1.9541650815342528
mexico_born,male,55-64,530,1177829.17,0.15890421528616075,0.21771293030550432,1.3700890811073743,1.1470732890746795,0.060134026057446006,0.0993379625671862,0.5383318788071788
mexico_born,male,65-74,272,554443.78,0.03801947241612125,0.06021028858868251,1.5836697555842931,0.4497788756869091,0.07838399774274678,0.026568735246700753,0.22968527124607657
mexico_born,male,75+,108,213795.96000000002,0.04003859567786033,0.06592304176374521,1.6464873616983,0.6409768453996979,0.11860523463586495,0.029400181369189576,0.3126936074937992
