police_key,prisons_key,court_criminal_share,ice_interior,mexican_hispanic_scaling,cbp_border,national_bn,target_bn,target_share,change_bn,band_low,band_high,mexico_born_bn
half,custody_acs_adj,0.600000,central,adj,per_head,519.153000,68.369035,0.131693,5.943592,171.063592,203.327692,
half,custody_acs_adj,0.600000,central,adj,zero,519.153000,65.261545,0.125708,2.836102,167.956102,200.220202,
half,custody_acs_adj,0.600000,central,raw,per_head,519.153000,65.981807,0.127095,3.556363,168.676364,200.940464,
half,custody_acs_adj,0.600000,central,raw,zero,519.153000,62.874316,0.121109,0.448873,165.568874,197.832974,
half,custody_acs_adj,0.600000,low,adj,per_head,519.153000,68.282549,0.131527,5.857105,170.977106,203.241206,
half,custody_acs_adj,0.600000,low,adj,zero,519.153000,65.175059,0.125541,2.749615,167.869616,200.133716,
half,custody_acs_adj,0.600000,low,raw,per_head,519.153000,65.895320,0.126929,3.469877,168.589878,200.853978,
half,custody_acs_adj,0.600000,low,raw,zero,519.153000,62.787830,0.120943,0.362387,165.482388,197.746488,
half,custody_acs_adj,0.600000,high,adj,per_head,519.153000,68.507910,0.131961,6.082467,171.202467,203.466567,
half,custody_acs_adj,0.600000,high,adj,zero,519.153000,65.400420,0.125975,2.974976,168.094977,200.359077,
half,custody_acs_adj,0.600000,high,raw,per_head,519.153000,66.120681,0.127363,3.695238,168.815239,201.079339,
half,custody_acs_adj,0.600000,high,raw,zero,519.153000,63.013191,0.121377,0.587748,165.707749,197.971849,
half,custody_acs_adj,0.750000,central,adj,per_head,519.153000,68.620928,0.132179,6.195485,171.315486,203.579586,
half,custody_acs_adj,0.750000,central,adj,zero,519.153000,65.513438,0.126193,3.087995,168.207996,200.472096,
half,custody_acs_adj,0.750000,central,raw,per_head,519.153000,66.046591,0.127220,3.621148,168.741148,201.005249,
half,custody_acs_adj,0.750000,central,raw,zero,519.153000,62.939101,0.121234,0.513658,165.633658,197.897759,
half,custody_acs_adj,0.750000,low,adj,per_head,519.153000,68.534442,0.132012,6.108999,171.229000,203.493100,
half,custody_acs_adj,0.750000,low,adj,zero,519.153000,65.426952,0.126026,3.001509,168.121510,200.385610,
half,custody_acs_adj,0.750000,low,raw,per_head,519.153000,65.960105,0.127053,3.534662,168.654662,200.918762,
half,custody_acs_adj,0.750000,low,raw,zero,519.153000,62.852615,0.121068,0.427172,165.547172,197.811272,
half,custody_acs_adj,0.750000,high,adj,per_head,519.153000,68.759803,0.132446,6.334360,171.454361,203.718461,
half,custody_acs_adj,0.750000,high,adj,zero,519.153000,65.652313,0.126460,3.226870,168.346871,200.610971,
half,custody_acs_adj,0.750000,high,raw,per_head,519.153000,66.185466,0.127487,3.760023,168.880023,201.144124,
half,custody_acs_adj,0.750000,high,raw,zero,519.153000,63.077976,0.121502,0.652533,165.772533,198.036633,
half,custody_bjs_raw,0.500000,central,adj,per_head,519.153000,66.240235,0.127593,3.814792,168.934793,201.198893,
half,custody_bjs_raw,0.500000,central,adj,zero,519.153000,63.132745,0.121607,0.707302,165.827303,198.091403,
half,custody_bjs_raw,0.500000,central,raw,per_head,519.153000,63.977746,0.123235,1.552303,166.672304,198.936404,
half,custody_bjs_raw,0.500000,central,raw,zero,519.153000,60.870256,0.117249,-1.555187,163.564814,195.828914,
half,custody_bjs_raw,0.500000,low,adj,per_head,519.153000,66.153749,0.127426,3.728306,168.848306,201.112407,
half,custody_bjs_raw,0.500000,low,adj,zero,519.153000,63.046259,0.121441,0.620816,165.740816,198.004917,
half,custody_bjs_raw,0.500000,low,raw,per_head,519.153000,63.891260,0.123068,1.465817,166.585818,198.849918,
half,custody_bjs_raw,0.500000,low,raw,zero,519.153000,60.783770,0.117083,-1.641673,163.478328,195.742428,
half,custody_bjs_raw,0.500000,high,adj,per_head,519.153000,66.379110,0.127860,3.953667,169.073668,201.337768,
half,custody_bjs_raw,0.500000,high,adj,zero,519.153000,63.271620,0.121875,0.846177,165.966177,198.230278,
half,custody_bjs_raw,0.500000,high,raw,per_head,519.153000,64.116621,0.123502,1.691178,166.811179,199.075279,
half,custody_bjs_raw,0.500000,high,raw,zero,519.153000,61.009131,0.117517,-1.416312,163.703689,195.967789,
half,custody_bjs_raw,0.600000,central,adj,per_head,519.153000,66.408164,0.127916,3.982721,169.102722,201.366822,
half,custody_bjs_raw,0.600000,central,adj,zero,519.153000,63.300674,0.121931,0.875231,165.995232,198.259332,
half,custody_bjs_raw,0.600000,central,raw,per_head,519.153000,64.020936,0.123318,1.595493,166.715493,198.979594,
half,custody_bjs_raw,0.600000,central,raw,zero,519.153000,60.913446,0.117332,-1.511997,163.608003,195.872104,
half,custody_bjs_raw,0.600000,low,adj,per_head,519.153000,66.321678,0.127750,3.896235,169.016236,201.280336,
half,custody_bjs_raw,0.600000,low,adj,zero,519.153000,63.214188,0.121764,0.788745,165.908746,198.172846,
half,custody_bjs_raw,0.600000,low,raw,per_head,519.153000,63.934450,0.123151,1.509007,166.629007,198.893108,
half,custody_bjs_raw,0.600000,low,raw,zero,519.153000,60.826960,0.117166,-1.598483,163.521517,195.785617,
half,custody_bjs_raw,0.600000,high,adj,per_head,519.153000,66.547039,0.128184,4.121596,169.241597,201.505697,
