universe,allocation,weighting,arm,group,metric,n_unweighted,weighted_persons,estimate,se_sdr,diff_vs_white,se_sdr_diff
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,extended_balance_sales_itep,362,974649.319403,17523.866002,1533.677128,-1487.407772,1528.507432
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,federal_after_refundable,362,974649.319403,8045.293508,961.880191,-2024.493544,959.716311
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,health_age_birth,362,974649.319403,1663.805010,177.528391,-1481.841306,177.807380
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,health_age_birth_ins,362,974649.319403,856.750224,210.580012,-1710.309079,215.128653
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,k12_charged,362,974649.319403,4351.466237,738.603422,850.784719,739.612086
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,k12_charged_flat090,362,974649.319403,4878.925525,828.132609,953.911867,829.263537
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,k12_cost_at_full_attendance,362,974649.319403,5421.028362,920.147343,1059.902075,921.403930
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,modeled_tax_total,362,974649.319403,14809.678142,1288.915782,-2526.988326,1281.155074
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,payroll,362,974649.319403,4756.906487,284.117899,55.903697,281.471032
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,property_tax_owner,362,974649.319403,770.748291,122.190988,-845.878815,123.011962
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,property_tax_renter_proxy,362,974649.319403,808.066733,125.878240,461.503619,125.648348
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,sales_tax_itep,362,974649.319403,1998.771762,111.546164,-196.502077,109.918475
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,sales_tax_share35,362,974649.319403,1229.698071,106.323175,-53.561381,105.221337
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,selected_cash_total,362,974649.319403,333.497022,174.088657,-2351.118779,179.974640
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,selected_noncash_total,362,974649.319403,63.841236,16.175286,-179.219445,17.348839
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,snap,362,974649.319403,3.279013,1.615159,-130.235920,5.262138
adults_25_64,equal_adults_18plus,person,age_standardised,india_born_recent_noncit,social_security,362,974649.319403,124.376295,115.756085,-1680.072972,124.231106
