spec,term,coef,se_hc1,t,n,k,r2
7_annualized_all_metros_state_fe,st_SD,-0.014311363282173306,0.008591387012911508,-1.6657803053995321,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_TN,-0.005836723864326876,0.009940869339351729,-0.5871442089296693,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_TX,-0.017756203295787865,0.009450934670162904,-1.878777487674857,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_UT,-0.00821107965713952,0.008644591976876396,-0.949851615796733,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_VA,-0.006688097291206674,0.009627881169291419,-0.6946593101438222,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_WA,0.00035866239348225637,0.009552957608846975,0.037544644095363705,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_WI,-0.014718862195199911,0.008821613593333473,-1.6684999903331756,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_WY,-0.03050116905430822,0.008633316485264168,-3.5329608391363085,168,44,0.5027913024558394
8_annualized_product_all_metros,const,0.04872668025124048,0.00197576985542625,24.662123534994542,168,4,0.06661085114822796
8_annualized_product_all_metros,d_mex_share_pp,0.00040188858223118296,0.0010711315337695805,0.37520002871807556,168,4,0.06661085114822796
8_annualized_product_all_metros,inv_elasticity,-0.0022381199798091334,0.002746509779316529,-0.8148960534071322,168,4,0.06661085114822796
8_annualized_product_all_metros,d_share_x_inv_elast,0.0017741919621635516,0.001495248736724085,1.1865530587577011,168,4,0.06661085114822796
