group,metric,allocation,weighting,n_adults_2025,n_adults_2026,weighted_adults_2025,weighted_adults_2026,estimate_asec2025,se_asec2025,estimate_asec2026,se_asec2026,estimate_asec2026_oasdi2025cap,se_asec2026_oasdi2025cap,change_2026_minus_2025,diff_from_ref_asec2025,se_diff_from_ref_asec2025,diff_from_ref_asec2026,se_diff_from_ref_asec2026,pooled_estimate,pooled_se_independent,pooled_diff_from_ref,pooled_se_diff_independent
mexican_third_plus_selfid,k12_charged,equal_all_members,person,2477,2572,5526182.2353818305,5915761.860757951,1715.3869978902255,68.54573733603192,1815.8798000101465,71.99737993233205,1815.8798000101465,71.99737993233205,100.49280211992095,63.8409909607451,68.33863338062298,128.35235633022307,73.81448622732321,1765.633398950186,49.70447873195345,96.09667364548409,50.29599186151638
mexican_third_plus_selfid,extended_balance_base,equal_all_members,person,2477,2572,5526182.2353818305,5915761.860757951,9706.679780133432,560.6840363736667,9273.313269290407,581.5992929458911,9284.145987181779,582.1574251573586,-433.366510843025,-6278.913867932499,545.6825579052008,-7542.835688995612,660.9607547741805,9489.99652471192,403.92583669512516,-6910.874778464055,428.55529787695343
mexico_born,modeled_tax_total,equal_all_members,person,4318,3792,9446562.93512691,8464168.76282869,4874.416068064725,220.79207481293832,5514.155613832396,276.1219480667605,5514.155613832396,276.1219480667605,639.7395457676712,-9508.899494034846,324.8563510061141,-9350.102176920569,370.0609575687924,5194.28584094856,176.7713710590497,-9429.500835477707,246.20964700115792
mexico_born,selected_cash_total,equal_all_members,person,4318,3792,9446562.93512691,8464168.76282869,859.9303068741981,62.82028805689019,948.5802931092716,63.364267039900035,948.5802931092716,63.364267039900035,88.64998623507347,-1593.3890599763874,84.3523769028889,-1418.6127311202636,78.43953054723313,904.2552999917348,44.613391848901216,-1506.0008955483254,57.59358350032872
mexico_born,selected_noncash_total,equal_all_members,person,4318,3792,9446562.93512691,8464168.76282869,244.9400971771,13.450506776061593,212.6342318341476,10.595040854860262,212.6342318341476,10.595040854860262,-32.30586534295239,100.77442930566181,14.101950170481103,76.41511676443295,11.793881915711976,228.78716450562382,8.561118841147996,88.59477303504738,9.191853040226572
mexico_born,cash_noncash_tax_balance,equal_all_members,person,4318,3792,9446562.93512691,8464168.76282869,3769.545664013428,230.07587885034252,4352.94108888894,287.91642483024924,4352.94108888894,287.91642483024924,583.3954248755117,-8016.284863364112,338.39555377119336,-8007.904562564781,393.08171957386963,4061.243376451184,184.27613635234354,-8012.094712964446,259.33799811985847
mexico_born,employer_payroll,equal_all_members,person,4318,3792,9446562.93512691,8464168.76282869,1895.074810396558,36.73181560942633,2056.582541441973,46.711852100327555,2062.235607600543,47.320768084664984,161.50773104541486,-1593.748599179366,44.3006191902855,-1600.1676213318096,57.211907419656,1975.8286759192654,29.712048922145083,-1596.9581102555878,36.17923165034735
mexico_born,sales_tax_share35,equal_all_members,person,4318,3792,9446562.93512691,8464168.76282869,592.4151570181131,11.616521144634048,654.6832050615471,16.64867208727642,654.6832050615471,16.64867208727642,62.26804804343408,-457.3147182238803,15.443679998466179,-433.2825876604609,20.76270795954913,623.54918103983,10.15039218175075,-445.2986529421706,12.938289045586254
mexico_born,property_tax_owner,equal_all_members,person,4318,3792,9446562.93512691,8464168.76282869,517.6136719735246,24.745685422153667,594.4790483034777,27.3413912940756,594.4790483034777,27.3413912940756,76.86537632995316,-795.1421708265484,28.739276450477895,-803.6357467127942,32.04689077689723,556.0463601385011,18.438415230897295,-799.3889587696713,21.52294833058063
mexico_born,k12_charged,equal_all_members,person,4318,3792,9446562.93512691,8464168.76282869,2311.4373163761716,61.936866644041366,2140.956866493176,63.479655427248915,2140.956866493176,63.479655427248915,-170.48044988299534,659.8913094466911,68.54023720315813,453.4294228132528,67.18058458667367,2226.197091434674,44.3447914158022,556.660366129972,47.9869645353621
mexico_born,extended_balance_base,equal_all_members,person,4318,3792,9446562.93512691,8464168.76282869,4463.211987025434,290.21150125069215,5517.729017202764,370.3199085683193,5523.382083361334,371.0027312675067,1054.5170301773305,-11522.381661040497,402.4726313393755,-11298.419941083255,488.81866899022685,4990.470502114099,235.2443145647886,-11410.400801061876,316.59434223096036
