STATE,union_persons,hisp_persons,hisp_records,persons,population,f,hisp_share,union_share
36,1808,84977,576,289425,comm_adl_65,0.021276345364039682,0.2936062883303101,0.006246868791569491
37,1082,3549,33,63712,comm_adl_65,0.3048746125669203,0.055703792064289305,0.016982672024108487
38,21,261,2,4875,comm_adl_65,0.08045977011494253,0.05353846153846154,0.0043076923076923075
39,877,2036,16,64123,comm_adl_65,0.4307465618860511,0.0317514776289319,0.013676839823464279
40,429,429,4,17019,comm_adl_65,1.0,0.02520712145249427,0.02520712145249427
41,1586,2547,24,38489,comm_adl_65,0.6226933647428347,0.06617475122762348,0.04120657850294889
42,434,10576,60,103687,comm_adl_65,0.04103630862329803,0.10199928631361695,0.004185674192521724
44,0,2028,12,10946,comm_adl_65,0.0,0.18527315914489312,0.0
45,88,1148,9,33574,comm_adl_65,0.07665505226480836,0.03419312563293024,0.0026210758324894264
46,0,91,1,2756,comm_adl_65,0.0,0.0330188679245283,0.0
47,148,252,5,41181,comm_adl_65,0.5873015873015873,0.006119326874043855,0.0035938903863432167
48,74288,81885,932,181618,comm_adl_65,0.9072235452158515,0.45086390115517183,0.4090343468158442
49,797,1920,14,8026,comm_adl_65,0.41510416666666666,0.2392225267879392,0.09930226763020185
50,0,0,0,5497,comm_adl_65,,0.0,0.0
51,797,1962,18,45331,comm_adl_65,0.40621814475025486,0.043281639496150534,0.017581787297875625
53,3161,6100,68,56727,comm_adl_65,0.5181967213114754,0.10753256826555256,0.05572302430941174
54,0,0,0,15125,comm_adl_65,,0.0,0.0
55,1765,2397,16,36610,comm_adl_65,0.7363370880267001,0.06547391423108441,0.048210871346626605
56,286,286,5,2633,comm_adl_65,1.0,0.10862134447398406,0.10862134447398406
1,3052,5402,34,108537,comm_cog_u65,0.5649759348389486,0.04977104581847665,0.028119443139205984
2,237,1528,6,14467,comm_cog_u65,0.1551047120418848,0.10561968618234603,0.01638211101126702
4,40044,46650,443,131619,comm_cog_u65,0.8583922829581994,0.35443211086545257,0.30424178879948943
5,4004,6067,44,96176,comm_cog_u65,0.6599637382561397,0.06308226584594909,0.041632007985360174
6,280074,340509,3166,771715,comm_cog_u65,0.8225157044307199,0.4412367259934043,0.36292413650116945
8,18475,25335,220,103166,comm_cog_u65,0.7292283402407737,0.2455750925692573,0.17908031715875386
9,754,21566,168,80232,comm_cog_u65,0.034962440879161644,0.2687954930700967,0.00939774653504836
10,858,2334,20,18597,comm_cog_u65,0.3676092544987147,0.1255041135667043,0.04613647362477819
11,0,758,6,22818,comm_cog_u65,0.0,0.03321938820229643,0.0
12,10519,91731,779,344721,comm_cog_u65,0.11467224820398775,0.26610215217523736,0.03051453204185414
13,8802,16639,124,160835,comm_cog_u65,0.528998136907266,0.10345385021916871,0.05472689402182361
15,745,2560,29,23748,comm_cog_u65,0.291015625,0.10779855145696479,0.03137106282634327
16,4753,6361,52,44146,comm_cog_u65,0.7472095582455589,0.14409006478503147,0.10766547365559734
17,21975,32398,228,205995,comm_cog_u65,0.6782826100376567,0.1572756620306318,0.10667734653753731
18,9788,14594,110,183600,comm_cog_u65,0.670686583527477,0.0794880174291939,0.0533115468409586
19,3221,6214,49,72176,comm_cog_u65,0.5183456710653364,0.08609510086455331,0.04462702283307471
20,4296,6517,52,56320,comm_cog_u65,0.6591990179530459,0.1157137784090909,0.07627840909090909
21,3506,6002,48,149163,comm_cog_u65,0.5841386204598468,0.040237860595455976,0.023504488378485282
22,2258,6677,72,143714,comm_cog_u65,0.33817582746742547,0.04646033093505156,0.015711760858371487
23,432,1612,25,46734,comm_cog_u65,0.2679900744416873,0.0344930885436727,0.00924380536654256
24,3540,11420,79,107177,comm_cog_u65,0.30998248686514884,0.10655271186915104,0.0330294746074251
25,1321,41421,349,167841,comm_cog_u65,0.0318920354409599,0.24678713782687187,0.007870544145947653
26,11281,17309,162,255773,comm_cog_u65,0.651741868392166,0.06767328842371947,0.04410551543751686
27,4812,10052,76,133377,comm_cog_u65,0.4787107043374453,0.07536531785840138,0.03607818439461077
28,1402,2465,24,79975,comm_cog_u65,0.568762677484787,0.03082213191622382,0.01753047827446077
29,4823,7675,57,136649,comm_cog_u65,0.6284039087947882,0.05616579704205665,0.03529480640180316
30,1995,3090,18,24869,comm_cog_u65,0.6456310679611651,0.12425107563633439,0.08022035465841007
31,1652,4439,33,37863,comm_cog_u65,0.37215589096643387,0.11723846499220875,0.04363098539471252
32,11344,16719,150,56008,comm_cog_u65,0.6785094802320712,0.2985109270104271,0.20254249392943866
33,293,2280,11,30303,comm_cog_u65,0.12850877192982457,0.07524007524007524,0.00966900966900967
34,1934,36581,290,128958,comm_cog_u65,0.0528689756977666,0.28366599978287504,0.014997130848803487
35,21667,35952,248,62433,comm_cog_u65,0.6026646639964397,0.575849310460814,0.34704403120144794
36,11372,126369,989,459564,comm_cog_u65,0.08999042486685817,0.2749758466720631,0.024745193270143004
37,8564,17802,147,221895,comm_cog_u65,0.48106954274800584,0.0802271344554857,0.03859483088848329
38,716,733,8,14818,comm_cog_u65,0.9768076398362893,0.049466864624105815,0.04831961128357403
39,5317,20052,156,310986,comm_cog_u65,0.2651605824855376,0.06447878682641663,0.01709723267285344
40,11398,14219,95,98627,comm_cog_u65,0.8016034882903158,0.1441694465004512,0.11556673121964574
41,14563,19419,155,125053,comm_cog_u65,0.7499356300530409,0.15528615866872447,0.11645462323974634
42,3950,44888,258,336683,comm_cog_u65,0.08799679201568347,0.13332422486433826,0.011732104086039391
44,935,7319,44,29038,comm_cog_u65,0.12774969258095367,0.25204903919002686,0.03219918727185068
45,1675,5990,36,99204,comm_cog_u65,0.27963272120200333,0.06038062981331398,0.016884399822587798
46,132,1273,7,17238,comm_cog_u65,0.10369206598586017,0.07384847430096299,0.007657500870170553
47,2649,6397,47,131310,comm_cog_u65,0.414100359543536,0.04871677709237682,0.02017363490975554
48,172863,200976,1599,442809,comm_cog_u65,0.8601176259851923,0.4538661138323747,0.39037824434462715
49,5485,7495,76,47781,comm_cog_u65,0.7318212141427618,0.15686151399091688,0.11479458362110462
50,13,502,5,15860,comm_cog_u65,0.025896414342629483,0.03165195460277428,0.000819672131147541
51,2602,12485,107,141860,comm_cog_u65,0.20841009211053263,0.08800930494854081,0.018342027350909347
53,19738,25003,219,176275,comm_cog_u65,0.7894252689677239,0.1418408736349454,0.1119727698198837
54,508,958,14,65001,comm_cog_u65,0.5302713987473904,0.014738234796387749,0.007815264380547991
55,4401,10857,65,119931,comm_cog_u65,0.40536059684995857,0.09052705305550691,0.03669610025764815
56,1717,2197,17,8918,comm_cog_u65,0.781520254893036,0.24635568513119532,0.19253195783808028
1,5816,14644,135,954085,all65,0.3971592461076209,0.015348737271836367,0.006095892923586473
2,1191,2530,36,109325,all65,0.4707509881422925,0.023142007774982848,0.010894123027669792
4,172529,207451,2236,1491704,all65,0.8316614525839837,0.13906981545936728,0.11565900473552394
5,10079,14852,137,563319,all65,0.6786291408564503,0.026365167871135183,0.017892171220924555
6,1169507,1498898,16458,6523849,all65,0.7802445529982694,0.2297566973116637,0.17926641159229773
8,72307,110139,1247,980616,all65,0.6565067777989632,0.11231613597983309,0.0737363045269504
9,2023,54608,456,711450,all65,0.037045854087313215,0.07675592100639539,0.002843488649940263
