arm,year,measure,group,n,wpop,rate,se,neff
citizens_18plus_pooled,pooled,turnout_reported_only,8 Indian 2nd gen (self-ID),678,2433066.439500,0.697414,0.019300,566.511676
citizens_18plus_pooled,pooled,turnout_reported_only,9 US-born Asian (any),6026,17094484.935900,0.640005,0.007280,4347.230592
citizens_18plus_pooled,pooled,vote_item_nonresponse,1 India-born,1748,6255852.762000,0.139790,0.008813,1548.310790
citizens_18plus_pooled,pooled,vote_item_nonresponse,2 China-born,1364,4953061.568200,0.160637,0.010647,1189.534962
citizens_18plus_pooled,pooled,vote_item_nonresponse,3 Mexico-born,5242,18835958.823300,0.168488,0.005537,4570.417741
citizens_18plus_pooled,pooled,vote_item_nonresponse,4 Other foreign-born,23476,80571328.148100,0.167330,0.002678,19425.449926
citizens_18plus_pooled,pooled,vote_item_nonresponse,5 Indian 2nd gen,833,2941429.343600,0.213849,0.015663,685.296490
citizens_18plus_pooled,pooled,vote_item_nonresponse,6 US-born NH white,290492,748832416.300700,0.139119,0.000737,220347.326489
citizens_18plus_pooled,pooled,vote_item_nonresponse,7 All US-born,378284,1043551083.869900,0.156281,0.000683,283036.885200
citizens_18plus_pooled,pooled,vote_item_nonresponse,8 Indian 2nd gen (self-ID),960,3535773.250400,0.311871,0.016162,821.585693
citizens_18plus_pooled,pooled,vote_item_nonresponse,9 US-born Asian (any),8238,24105690.326600,0.290853,0.005819,6091.781110
