group,lowed,sex,measure,period,rate_pct,se_pct,years
mex_nb,hs_or_less,all,long_distance,2024,1.56459084576759,0.08291169631162,1
mex_nb,hs_or_less,all,moved_abroad,2006_2010,0.315040841512062,0.01663474390738495,5
mex_nb,hs_or_less,all,moved_abroad,2019_2024,0.346823346678036,0.01578693369361351,5
mex_nb,hs_or_less,all,moved_abroad,2024,0.30370959818612997,0.026550677429419998,1
mex_nb,hs_or_less,all,moved_any,2006_2010,20.701771085786252,0.1535026957088269,5
mex_nb,hs_or_less,all,moved_any,2019_2024,12.61565560491702,0.10369856654968805,5
mex_nb,hs_or_less,all,moved_any,2024,12.285779537682421,0.23027491494424998,1
mex_nb,hs_or_less,all,moved_interstate,2006_2010,1.7944390891321282,0.04663928948187794,5
mex_nb,hs_or_less,all,moved_interstate,2019_2024,1.3242447170915181,0.03413542249364306,5
mex_nb,hs_or_less,all,moved_interstate,2024,1.26088124758145,0.07330206836273,1
mex_nb,hs_or_less,all,moved_within_state,2006_2010,18.589359030851803,0.15039844376514167,5
mex_nb,hs_or_less,all,moved_within_state,2019_2024,10.937212729753199,0.09781045823160074,5
mex_nb,hs_or_less,all,moved_within_state,2024,10.71963949310881,0.20669736409663,1
mex_nb,hs_or_less,men,long_distance,2006_2010,2.2870245087581296,0.06673006852995501,5
mex_nb,hs_or_less,men,long_distance,2019_2024,1.69917849698859,0.04742322955391041,5
mex_nb,hs_or_less,men,long_distance,2024,1.47154586361732,0.10042278082158,1
mex_nb,hs_or_less,men,moved_abroad,2006_2010,0.3986614061491,0.02767813808887516,5
mex_nb,hs_or_less,men,moved_abroad,2019_2024,0.352376538752028,0.020428726567179326,5
mex_nb,hs_or_less,men,moved_abroad,2024,0.28919760652106,0.0324987106272,1
mex_nb,hs_or_less,men,moved_any,2006_2010,20.720853166231475,0.17460586228000083,5
mex_nb,hs_or_less,men,moved_any,2019_2024,12.301289250955163,0.12304878933322061,5
mex_nb,hs_or_less,men,moved_any,2024,11.74047933473204,0.2617513745929,1
mex_nb,hs_or_less,men,moved_interstate,2006_2010,1.888363102609026,0.06216709084175211,5
mex_nb,hs_or_less,men,moved_interstate,2019_2024,1.346801958236558,0.042790046926568584,5
mex_nb,hs_or_less,men,moved_interstate,2024,1.18234825709625,0.08987972052439999,1
mex_nb,hs_or_less,men,moved_within_state,2006_2010,18.431133140607987,0.17041294148115227,5
mex_nb,hs_or_less,men,moved_within_state,2019_2024,10.597827318122977,0.1164368092377347,5
mex_nb,hs_or_less,men,moved_within_state,2024,10.2661567441473,0.22624123327944,1
mex_nb,hs_or_less,women,long_distance,2006_2010,1.9025535411883983,0.061512523497626946,5
mex_nb,hs_or_less,women,long_distance,2019_2024,1.6356040666844582,0.054484742105763706,5
mex_nb,hs_or_less,women,long_distance,2024,1.68201802975014,0.11174289020687,1
mex_nb,hs_or_less,women,moved_abroad,2006_2010,0.218710608715752,0.019622786185491417,5
mex_nb,hs_or_less,women,moved_abroad,2019_2024,0.339911511680886,0.02210311394275247,5
mex_nb,hs_or_less,women,moved_abroad,2024,0.32202442049923,0.04630099671922,1
mex_nb,hs_or_less,women,moved_any,2006_2010,20.65775724709126,0.21051848377463042,5
mex_nb,hs_or_less,women,moved_any,2019_2024,13.008304480229608,0.15408794949497073,5
mex_nb,hs_or_less,women,moved_any,2024,12.973974277234909,0.36277192518413004,1
mex_nb,hs_or_less,women,moved_interstate,2006_2010,1.683842932472646,0.05966270777484293,5
mex_nb,hs_or_less,women,moved_interstate,2019_2024,1.295692555003568,0.048133023072214405,5
mex_nb,hs_or_less,women,moved_interstate,2024,1.35999360925091,0.09534692915883,1
mex_nb,hs_or_less,women,moved_within_state,2006_2010,18.75206052749523,0.20495058726095844,5
mex_nb,hs_or_less,women,moved_within_state,2019_2024,11.361442364924896,0.14523875550251417,5
mex_nb,hs_or_less,women,moved_within_state,2024,11.291956247484771,0.33992210009494,1
mex_nb,some_college_plus,all,long_distance,2006_2010,2.522727477401576,0.06093414918096638,5
mex_nb,some_college_plus,all,long_distance,2019_2024,2.3551438196623278,0.04324205003443772,5
mex_nb,some_college_plus,all,long_distance,2024,2.13128708484433,0.09278103871958,1
mex_nb,some_college_plus,all,moved_abroad,2006_2010,0.3686871058510501,0.023287860985092536,5
mex_nb,some_college_plus,all,moved_abroad,2019_2024,0.25447877014724596,0.013930755615330226,5
mex_nb,some_college_plus,all,moved_abroad,2024,0.2504921361336,0.03725274831173,1
mex_nb,some_college_plus,all,moved_any,2006_2010,18.01525400650317,0.14705823332609264,5
