group,sex,age_band,universe,outcome,n_records,adults_per_year,rate,se,ratio_to_nh_white,ratio_se,share_in_group_quarters
mexico_born_naturalized,men,18_49,all,reserve_guard_only,16331,704874,0.00789881,0.000775967,0.649005,0.0661039,0.0345447
mexico_born_naturalized,men,18_49,household,ever_active_duty,15722,695139,0.0366301,0.00175736,0.53165,0.0256906,0
mexico_born_naturalized,men,18_49,household,now_active_duty,15722,695139,0.00639968,0.000710162,0.500791,0.0560463,0
mexico_born_naturalized,men,18_49,household,reserve_guard_only,15722,695139,0.00773275,0.00077525,0.630597,0.0655405,0
mexico_born_naturalized,men,25_49,all,ever_active_duty,15175,658229,0.0375645,0.00190638,0.471412,0.0240581,0.00757637
mexico_born_naturalized,men,25_49,all,now_active_duty,15175,658229,0.00593158,0.000797409,0.448429,0.060166,0.0215146
mexico_born_naturalized,men,25_49,all,reserve_guard_only,15175,658229,0.00744979,0.000791367,0.585198,0.06343,0.0225681
mexico_born_naturalized,men,25_49,household,ever_active_duty,14672,650362,0.0377308,0.00194115,0.473654,0.024514,0
mexico_born_naturalized,men,25_49,household,now_active_duty,14672,650362,0.00587416,0.000814757,0.463489,0.0643253,0
mexico_born_naturalized,men,25_49,household,reserve_guard_only,14672,650362,0.00736974,0.000794748,0.574587,0.0632948,0
mexico_born_naturalized,men,25_34,all,ever_active_duty,3799,160114,0.0394781,0.00414451,0.598432,0.0625783,0.0205664
mexico_born_naturalized,men,25_34,all,now_active_duty,3799,160114,0.0114398,0.00225714,0.619444,0.122713,0.0458599
mexico_born_naturalized,men,25_34,all,reserve_guard_only,3799,160114,0.0103739,0.0023141,0.76299,0.172407,0.025888
mexico_born_naturalized,men,25_34,household,ever_active_duty,3606,157135,0.0393992,0.00425269,0.607273,0.0653763,0
mexico_born_naturalized,men,25_34,household,now_active_duty,3606,157135,0.011122,0.00229237,0.653908,0.135542,0
mexico_born_naturalized,men,25_34,household,reserve_guard_only,3606,157135,0.0102969,0.00233508,0.752816,0.173098,0
mexico_born_naturalized,men,18_plus_born_1956_on,all,ever_active_duty,37592,1514031,0.0324179,0.00109815,0.346025,0.0119087,0.020999
