arm,outcome,regressor,window,unit,n,clusters,coef,se,coef10,se10,t,stars,mean_y0,mean_dx
R_log_2007_2022_unwtd,judicial,hisp,2007-2022,dollars_pc,3000,50,0.00364703,0.00628819,0.0364703,0.0628819,0.579981,,3.89058,2.45031
R_log_2007_2022_unwtd,law_order,hisp,2007-2022,dollars_pc,3118,50,-0.00478654,0.00621675,-0.0478654,0.0621675,-0.769942,,5.78365,2.43566
R_log_2007_2022_unwtd,welfare,hisp,2007-2022,dollars_pc,2299,50,-0.0122101,0.012264,-0.122101,0.12264,-0.995611,,3.59907,2.48732
R_log_2007_2022_unwtd,health_hosp,hisp,2007-2022,dollars_pc,2955,50,-0.0500018,0.0105766,-0.500018,0.105766,-4.72757,***,5.02897,2.4376
R_log_2007_2022_unwtd,highways,hisp,2007-2022,dollars_pc,3076,50,0.0103416,0.00451663,0.103416,0.0451663,2.28967,**,5.54205,2.43518
R_logratio_2007_2012,lo_ed,hisp,2007-2012,dollars_pc,3111,49,-0.00176493,0.00752561,-0.0176493,0.0752561,-0.234524,,-1.66077,1.16562
R_share_2007_2022_noCA,education,hisp,2007-2022,share_pp,3066,49,0.310333,0.121774,3.10333,1.21774,2.54842,**,46.5883,3.17058
R_share_2007_2022_noCA,police,hisp,2007-2022,share_pp,3066,49,-0.0244695,0.0280229,-0.244695,0.280229,-0.873197,,5.4638,3.17058
R_share_2007_2022_noCA,corrections,hisp,2007-2022,share_pp,3066,49,0.00788131,0.0361759,0.0788131,0.361759,0.217861,,1.72598,3.17058
R_share_2007_2022_noCA,judicial,hisp,2007-2022,share_pp,3066,49,-0.0139315,0.00879053,-0.139315,0.0879053,-1.58483,,1.42831,3.17058
R_share_2007_2022_noCA,law_order,hisp,2007-2022,share_pp,3066,49,-0.0305197,0.049702,-0.305197,0.49702,-0.614053,,8.61808,3.17058
R_share_2007_2022_noCA,welfare,hisp,2007-2022,share_pp,3066,49,0.0223667,0.0309237,0.223667,0.309237,0.723288,,2.38043,3.17058
R_share_2007_2022_noCA,health_hosp,hisp,2007-2022,share_pp,3066,49,-0.221244,0.126238,-2.21244,1.26238,-1.7526,*,6.97061,3.17058
R_share_2007_2022_noCA,highways,hisp,2007-2022,share_pp,3066,49,0.0454598,0.028004,0.454598,0.28004,1.62333,,4.69878,3.17058
R_placebo_2007_2022,lo_ed,hisp,2007-2022,dollars_pc,3099,49,-0.0150516,0.00592993,-0.150516,0.0592993,-2.53824,**,-1.66073,2.35591
R_placebo_2007_2022,education,hisp,2007-2022,share_pp,3120,50,0.358986,0.138744,3.58986,1.38744,2.58739,***,45.3283,2.35059
R_placebo_2007_2022,police,hisp,2007-2022,share_pp,3120,50,-0.109425,0.0271801,-1.09425,0.271801,-4.02593,***,5.50323,2.35059
R_placebo_2007_2022,corrections,hisp,2007-2022,share_pp,3120,50,0.0421086,0.030259,0.421086,0.30259,1.39161,,1.78939,2.35059
R_placebo_2007_2022,judicial,hisp,2007-2022,share_pp,3120,50,-0.0285756,0.0152647,-0.285756,0.152647,-1.872,*,1.52153,2.35059
R_placebo_2007_2022,law_order,hisp,2007-2022,share_pp,3120,50,-0.0958923,0.030335,-0.958923,0.30335,-3.16111,***,8.81415,2.35059
R_placebo_2007_2022,welfare,hisp,2007-2022,share_pp,3120,50,0.0101251,0.0438375,0.101251,0.438375,0.230969,,2.94609,2.35059
R_placebo_2007_2022,health_hosp,hisp,2007-2022,share_pp,3120,50,0.205046,0.150063,2.05046,1.50063,1.3664,,7.25427,2.35059
R_placebo_2007_2022,highways,hisp,2007-2022,share_pp,3120,50,0.00732075,0.0484233,0.0732075,0.484233,0.151182,,4.54601,2.35059
P_noCA_logratio,lo_ed,hisp,2012-2022,dollars_pc,3046,48,-0.00926801,0.00719693,-0.0926801,0.0719693,-1.28777,,-1.62955,2.06399
P_noCA_logratio_unwtd,lo_ed,hisp,2012-2022,dollars_pc,3046,48,0.00182074,0.00697306,0.0182074,0.0697306,0.26111,,-1.89113,1.64908
P_noCA_share,education,hisp,2012-2022,share_pp,3068,49,0.426959,0.12061,4.26959,1.2061,3.54,***,45.8327,2.06281
P_noCA_share,police,hisp,2012-2022,share_pp,3068,49,-0.0103787,0.0410352,-0.103787,0.410352,-0.252922,,5.91572,2.06281
P_noCA_share,corrections,hisp,2012-2022,share_pp,3068,49,0.00636823,0.0272471,0.0636823,0.272471,0.233722,,1.81523,2.06281
P_noCA_share,judicial,hisp,2012-2022,share_pp,3068,49,0.00451703,0.0140807,0.0451703,0.140807,0.320795,,1.54015,2.06281
P_noCA_share,law_order,hisp,2012-2022,share_pp,3068,49,0.000506551,0.0698663,0.00506551,0.698663,0.00725029,,9.27111,2.06281
P_noCA_share,welfare,hisp,2012-2022,share_pp,3068,49,-0.00765662,0.0492313,-0.0765662,0.492313,-0.155523,,2.32132,2.06281
P_noCA_share,health_hosp,hisp,2012-2022,share_pp,3068,49,-0.250886,0.136884,-2.50886,1.36884,-1.83283,*,7.66449,2.06281
P_noCA_share,highways,hisp,2012-2022,share_pp,3068,49,0.0753436,0.0462909,0.753436,0.462909,1.62761,,4.67765,2.06281
P_noCA_log,total_direct,hisp,2012-2022,dollars_pc,3068,49,-0.00127414,0.00303691,-0.0127414,0.0303691,-0.419552,,8.5696,2.06281
