item,arm,label,group,total_bn,per_person,se_bn,common_age_gap_per_person_vs_white,source,external
S,none_inside_meps,state-funded coverage for undocumented residents,mexican_second_gen,0.0,0.0,0.0,0.0,"params:state_medicaid_undocumented, assembled from individual verified state lines",False
S,none_inside_meps,state-funded coverage for undocumented residents,mexican_third_plus_selfid,0.0,0.0,0.0,0.0,"params:state_medicaid_undocumented, assembled from individual verified state lines",False
S,none_inside_meps,state-funded coverage for undocumented residents,mexican_observed_total,-2.970361010009098,-72.63104725945071,0.2607740789083941,-79.76900198058676,"params:state_medicaid_undocumented, assembled from individual verified state lines",False
S,none_inside_meps,state-funded coverage for undocumented residents,third_plus_nh_white,0.0,0.0,0.0,0.0,"params:state_medicaid_undocumented, assembled from individual verified state lines",False
S,none_inside_meps,state-funded coverage for undocumented residents,all_native,0.0,0.0,0.0,0.0,"params:state_medicaid_undocumented, assembled from individual verified state lines",False
S,all_inside_meps,state-funded coverage for undocumented residents,mexico_born,0.0,0.0,0.0,0.0,"params:state_medicaid_undocumented, assembled from individual verified state lines",False
S,all_inside_meps,state-funded coverage for undocumented residents,mexican_second_gen,0.0,0.0,0.0,0.0,"params:state_medicaid_undocumented, assembled from individual verified state lines",False
S,all_inside_meps,state-funded coverage for undocumented residents,mexican_third_plus_selfid,0.0,0.0,0.0,0.0,"params:state_medicaid_undocumented, assembled from individual verified state lines",False
S,all_inside_meps,state-funded coverage for undocumented residents,mexican_observed_total,0.0,0.0,0.0,0.0,"params:state_medicaid_undocumented, assembled from individual verified state lines",False
S,all_inside_meps,state-funded coverage for undocumented residents,third_plus_nh_white,0.0,0.0,0.0,0.0,"params:state_medicaid_undocumented, assembled from individual verified state lines",False
S,all_inside_meps,state-funded coverage for undocumented residents,all_native,0.0,0.0,0.0,0.0,"params:state_medicaid_undocumented, assembled from individual verified state lines",False
N,midpoint,institutional care (external add),mexico_born,-5.7701671365,-472.1602260765663,0.0,255.02327250379952,external:institutional_bound_2026_09_17,True
N,midpoint,institutional care (external add),mexican_second_gen,-6.498023236449247,-453.3541169187326,0.0,-74.3347805181979,external:institutional_bound_2026_09_17,True
N,midpoint,institutional care (external add),mexican_third_plus_selfid,-6.800368831050752,-474.1386409156445,0.0,-74.3347805181979,external:institutional_bound_2026_09_17,True
