cut,group,n_group,outcome_id,outcome,variable,estimate,jrr_se,n_base,small_cell_flag,replicates_used
origin,Foreign born: MENA (Middle East/North Africa),185,proud_american,Completely or mostly agree: proud to be an American,qc17b,94.73,3.31,176,,100
origin,Foreign born: MENA (Middle East/North Africa),185,belong_muslim_community,Completely or mostly agree: strong belonging to U.S. Muslim community,qc17d,79.8,5.12,180,,100
origin,Foreign born: MENA (Middle East/North Africa),185,lot_in_common,A lot in common with most Americans,qc13,48.31,6.64,180,,100
origin,Foreign born: MENA (Middle East/North Africa),185,employed_full_time,Employed full time,employ,34.92,6.04,182,,100
origin,Foreign born: MENA (Middle East/North Africa),185,employed_part_time,Employed part time,employ,19.65,5.33,182,,100
origin,Foreign born: MENA (Middle East/North Africa),185,not_employed,Not employed,employ,45.43,5.04,182,,100
origin,Foreign born: MENA (Middle East/North Africa),185,looking_for_work_of_not_employed,Looking for work (base: not employed),employ1,20.45,7.16,69,,100
origin,Foreign born: Sub-Saharan Africa,80,age_18_29,Aged 18-29,agerec,23.17,7.24,80,,100
origin,Foreign born: Sub-Saharan Africa,80,age_30_49,Aged 30-49,agerec,59.76,9.22,80,,100
origin,Foreign born: Sub-Saharan Africa,80,age_50_plus,Aged 50 or older,agerec,17.07,6.27,80,,100
origin,Foreign born: Sub-Saharan Africa,80,female,Female,sex,45.38,12.43,80,,100
origin,Foreign born: Sub-Saharan Africa,80,race_black,"Black, non-Hispanic",racethn,80.45,8.91,80,,100
origin,Foreign born: Sub-Saharan Africa,80,income_lt_30k,"Family income under $30,000",income,47.11,10.14,76,,100
origin,Foreign born: Sub-Saharan Africa,80,income_30_75k,"Family income $30,000-$75,000",income,25.92,7.24,76,,100
origin,Foreign born: Sub-Saharan Africa,80,income_75_100k,"Family income $75,000-$100,000",income,3.4,1.45,76,,100
origin,Foreign born: Sub-Saharan Africa,80,income_ge_100k,"Family income $100,000 or more",income,23.57,10.04,76,,100
origin,Foreign born: Sub-Saharan Africa,80,income_refused,Income not reported (of all respondents),income,2.56,1.36,80,,100
origin,Foreign born: Sub-Saharan Africa,80,edu_lt_hs,Did not finish high school,educrec,0.99,0.99,79,,100
origin,Foreign born: Sub-Saharan Africa,80,edu_hs,High school graduate,educrec,18.3,6.22,79,,100
origin,Foreign born: Sub-Saharan Africa,80,edu_some_college,Some college or associate degree,educrec,53.71,7.79,79,,100
