flow,annual_flow_bn,deficit_share,rate_name,rate,years,debt_bn,principal_bn,interest_component_bn,interest_in_year_N_bn
union_gap_vs_all_native,-255.806242829503,0.5,effective_fy2024,0.03220790586972007,10,-1481.2630007668174,-1279.031214147515,-202.2317866193025,-42.22878681141262
union_gap_vs_all_native,-255.806242829503,0.5,effective_fy2024,0.03220790586972007,20,-3515.043065210554,-2558.06242829503,-956.980636915524,-105.68867362571166
union_gap_vs_all_native,-255.806242829503,0.5,effective_fy2024,0.03220790586972007,30,-6307.43128282452,-3837.093642442545,-2470.3376403819752,-192.8193537466382
union_gap_vs_all_native,-255.806242829503,0.5,r3,0.03,10,-1466.2659474591,-1279.031214147515,-187.23473331158516,-38.98144153527228
union_gap_vs_all_native,-255.806242829503,0.5,r3,0.03,20,-3436.8047707239134,-2558.06242829503,-878.7423424288836,-96.37577619347071
union_gap_vs_all_native,-255.806242829503,0.5,r3,0.03,30,-6085.044171442988,-3837.093642442545,-2247.950529000443,-173.50896262218166
union_gap_vs_all_native,-255.806242829503,0.5,r4,0.04,10,-1535.6185770662878,-1279.031214147515,-256.5873629187729,-54.1429021404437
union_gap_vs_all_native,-255.806242829503,0.5,r4,0.04,20,-3808.709199583101,-2558.06242829503,-1250.6467712880712,-141.56946454493652
union_gap_vs_all_native,-255.806242829503,0.5,r4,0.04,30,-7173.4386026650955,-3837.093642442545,-3336.3449602225505,-270.982133894244
union_gap_vs_all_native,-255.806242829503,0.5,r5,0.05,10,-1608.751716116,-1279.031214147515,-329.720501968485,-70.51659974767848
union_gap_vs_all_native,-255.806242829503,0.5,r5,0.05,20,-4229.238742316341,-2558.06242829503,-1671.176314021311,-195.30169623340905
union_gap_vs_all_native,-255.806242829503,0.5,r5,0.05,30,-8497.735978834076,-3837.093642442545,-4660.642336391531,-398.5634694009202
union_gap_vs_all_native,-255.806242829503,0.107,effective_fy2024,0.03220790586972007,10,-316.9902821640989,-273.7126798275682,-43.27760233653072,-9.036960377642302
union_gap_vs_all_native,-255.806242829503,0.107,effective_fy2024,0.03220790586972007,20,-752.2192159550585,-547.4253596551364,-204.79385629992214,-22.617376155902296
union_gap_vs_all_native,-255.806242829503,0.107,effective_fy2024,0.03220790586972007,30,-1349.7902945244473,-821.1380394827046,-528.6522550417427,-41.263341701780575
union_gap_vs_all_native,-255.806242829503,0.107,r3,0.03,10,-313.7809127562474,-273.7126798275682,-40.06823292867921,-8.34202848854827
union_gap_vs_all_native,-255.806242829503,0.107,r3,0.03,20,-735.4762209349175,-547.4253596551364,-188.0508612797811,-20.624416105402734
union_gap_vs_all_native,-255.806242829503,0.107,r3,0.03,30,-1302.1994526887995,-821.1380394827046,-481.0614132060949,-37.130918001146874
union_gap_vs_all_native,-255.806242829503,0.107,r4,0.04,10,-328.6223754921856,-273.7126798275682,-54.9096956646174,-11.586581058054952
union_gap_vs_all_native,-255.806242829503,0.107,r4,0.04,20,-815.0637687107835,-547.4253596551364,-267.6384090556471,-30.29586541261641
union_gap_vs_all_native,-255.806242829503,0.107,r4,0.04,30,-1535.1158609703302,-821.1380394827046,-713.9778214876256,-57.99017665336821
union_gap_vs_all_native,-255.806242829503,0.107,r5,0.05,10,-344.2728672488239,-273.7126798275682,-70.5601874212557,-15.0905523460032
union_gap_vs_all_native,-255.806242829503,0.107,r5,0.05,20,-905.0570908556969,-547.4253596551364,-357.63173120056047,-41.79456299394954
union_gap_vs_all_native,-255.806242829503,0.107,r5,0.05,30,-1818.5154994704922,-821.1380394827046,-997.3774599877876,-85.29258245179693
union_gap_vs_all_native,-255.806242829503,0.509,effective_fy2024,0.03220790586972007,10,-1507.92573478062,-1302.0537760021703,-205.87195877844965,-42.98890497401805
union_gap_vs_all_native,-255.806242829503,0.509,effective_fy2024,0.03220790586972007,20,-3578.3138403843436,-2604.1075520043405,-974.2062883800031,-107.59106975097447
union_gap_vs_all_native,-255.806242829503,0.509,effective_fy2024,0.03220790586972007,30,-6420.965045915362,-3906.1613280065108,-2514.803717908851,-196.29010211407768
union_gap_vs_all_native,-255.806242829503,0.509,r3,0.03,10,-1492.658734513364,-1302.0537760021703,-190.60495851119367,-39.68310748290718
union_gap_vs_all_native,-255.806242829503,0.509,r3,0.03,20,-3498.667256596944,-2604.1075520043405,-894.5597045926033,-98.11054016495318
union_gap_vs_all_native,-255.806242829503,0.509,r3,0.03,30,-6194.574966528961,-3906.1613280065108,-2288.4136385224506,-176.6321239493809
union_gap_vs_all_native,-255.806242829503,0.509,r4,0.04,10,-1563.2597114534808,-1302.0537760021703,-261.20593545131055,-55.117474378971686
union_gap_vs_all_native,-255.806242829503,0.509,r4,0.04,20,-3877.2659651755966,-2604.1075520043405,-1273.1584131712561,-144.11771490674536
union_gap_vs_all_native,-255.806242829503,0.509,r4,0.04,30,-7302.560497513066,-3906.1613280065108,-3396.3991695065556,-275.8598123043403
union_gap_vs_all_native,-255.806242829503,0.509,r5,0.05,10,-1637.7092470060877,-1302.0537760021703,-335.65547100391746,-71.7858985431367
union_gap_vs_all_native,-255.806242829503,0.509,r5,0.05,20,-4305.365039678035,-2604.1075520043405,-1701.2574876736944,-198.8171267656104
union_gap_vs_all_native,-255.806242829503,0.509,r5,0.05,30,-8650.69522645309,-3906.1613280065108,-4744.53389844658,-405.7376118501368
