model,reference,group,stat,estimate,se,n_cell,boot_draws,reported
B_catholic_ref,Catholic,Buddhist,loggap_earnC_unadj,-0.005894832776478152,0.1257279234079151,93,500,True
B_catholic_ref,Catholic,Hindu,loggap_earnC_unadj,0.48282617541610545,0.1529299208371267,272,500,True
B_catholic_ref,Catholic,Jewish,loggap_earnC_unadj,0.8594845904426587,0.1375423572327023,42,500,False
B_catholic_ref,Catholic,Muslim,loggap_earnC_unadj,0.1175615400009771,0.08332065941081983,231,500,True
B_catholic_ref,Catholic,No religion,loggap_earnC_unadj,0.3699871857740747,0.08193624521763146,404,500,True
B_catholic_ref,Catholic,Orthodox,loggap_earnC_unadj,-0.04254556991322149,0.08511760061577077,316,500,True
B_catholic_ref,Catholic,Other,loggap_earnC_unadj,0.28218386385751687,0.10316514458831524,82,500,True
B_catholic_ref,Catholic,Protestant,loggap_earnC_unadj,0.0005057241604720218,0.08903798878394133,560,500,True
B_catholic_ref,Catholic,Buddhist,loggap_earnC_adj,-0.014459781039978812,0.1338922201117755,93,500,True
B_catholic_ref,Catholic,Hindu,loggap_earnC_adj,-0.13023799643833137,0.14110057768279277,272,500,True
B_catholic_ref,Catholic,Jewish,loggap_earnC_adj,0.362250004340448,0.15159871957041143,42,500,False
B_catholic_ref,Catholic,Muslim,loggap_earnC_adj,-0.060073919975222476,0.08606481548199045,231,500,True
B_catholic_ref,Catholic,No religion,loggap_earnC_adj,0.09819204509901715,0.07905603690652867,404,500,True
B_catholic_ref,Catholic,Orthodox,loggap_earnC_adj,-0.2529700803598744,0.0852933015998074,316,500,True
B_catholic_ref,Catholic,Other,loggap_earnC_adj,0.09720498989907926,0.09016190150676422,82,500,True
B_catholic_ref,Catholic,Protestant,loggap_earnC_adj,-0.141024756833447,0.08611194171725237,560,500,True
B_catholic_ref,Catholic,Buddhist,loggap_earnC_adj_origin,-0.023766662213336343,0.1479587034260262,93,500,True
B_catholic_ref,Catholic,Hindu,loggap_earnC_adj_origin,-0.24885599436349837,0.1863601625426325,272,500,True
B_catholic_ref,Catholic,Jewish,loggap_earnC_adj_origin,0.35755765184449345,0.14130764958951103,42,500,False
B_catholic_ref,Catholic,Muslim,loggap_earnC_adj_origin,-0.029398450612805292,0.09291644726395415,231,500,True
B_catholic_ref,Catholic,No religion,loggap_earnC_adj_origin,0.06510056373788564,0.0785715839646001,404,500,True
B_catholic_ref,Catholic,Orthodox,loggap_earnC_adj_origin,-0.1754957631328476,0.08577935225812747,316,500,True
B_catholic_ref,Catholic,Other,loggap_earnC_adj_origin,0.0616956285640842,0.09728113613084247,82,500,True
