account,rate,timing,survival,group,start_age,lifetime,person_years,gap_vs_white,gap_per_year
complete,0.0,cash_to_accrual,paradox_fades,all_native,0,-382953.4391601541,78.93040675292968,-142767.9827863944,-1808.783061682312
complete,0.0,cash_to_accrual,paradox_fades,all_native,25,-281585.29294287687,54.764830068072335,-75852.8311766772,-1385.0646680066861
complete,0.0,cash_to_accrual,paradox_fades,mexican_observed_total,0,-842138.9765830615,81.81386755859376,-601953.5202093018,-7626.383100920216
complete,0.0,cash_to_accrual,paradox_fades,mexican_observed_total,25,-623924.5349452329,57.76235330662396,-418192.07317903324,-7636.142989199878
complete,0.0,cash_to_accrual,mortality_65plus,mexico_born,0,-932313.7657562486,80.86920579656656,-692128.309382489,-8768.84255200926
complete,0.0,cash_to_accrual,mortality_65plus,mexico_born,25,-683535.4092878175,56.72740525006046,-477802.94752161787,-8724.63124468225
complete,0.0,cash_to_accrual,mortality_65plus,mexican_second_gen,0,-790373.8313997509,80.86920579656656,-550188.3750259912,-6970.550357712045
complete,0.0,cash_to_accrual,mortality_65plus,mexican_second_gen,25,-528504.430940986,56.72740525006046,-322771.96917478635,-5893.781990623962
complete,0.0,cash_to_accrual,mortality_65plus,mexican_third_plus_selfid,0,-697971.804837211,80.86920579656656,-457786.3484634514,-5799.873170506113
complete,0.0,cash_to_accrual,mortality_65plus,mexican_third_plus_selfid,25,-524689.4091304801,56.72740525006046,-318956.94736428047,-5824.120096197122
complete,0.0,cash_to_accrual,mortality_65plus,third_plus_nh_white,0,-240185.4563737597,78.93040675292968,0.0,0.0
complete,0.0,cash_to_accrual,mortality_65plus,third_plus_nh_white,25,-205732.46176619967,54.764830068072335,0.0,0.0
complete,0.0,cash_to_accrual,mortality_65plus,all_native,0,-382953.4391601541,78.93040675292968,-142767.9827863944,-1808.783061682312
complete,0.0,cash_to_accrual,mortality_65plus,all_native,25,-281585.29294287687,54.764830068072335,-75852.8311766772,-1385.0646680066861
complete,0.0,cash_to_accrual,mortality_65plus,mexican_observed_total,0,-831031.1061956855,80.86920579656656,-590845.6498219258,-7485.653173832088
complete,0.0,cash_to_accrual,mortality_65plus,mexican_observed_total,25,-611856.5469274278,56.72740525006046,-406124.0851612281,-7415.782805432217
complete,0.0,cash_to_accrual,fenelon_mexican,mexico_born,0,-918258.3392191312,79.7575924103368,-678072.8828453715,-8590.768890472027
complete,0.0,cash_to_accrual,fenelon_mexican,mexico_born,25,-669307.5075856899,55.602150387918876,-463575.0458194902,-8464.831265673049
complete,0.0,cash_to_accrual,fenelon_mexican,mexican_second_gen,0,-774545.1454387287,79.20284594690442,-534359.6890649691,-6770.010583343853
complete,0.0,cash_to_accrual,fenelon_mexican,mexican_second_gen,25,-512481.54424403026,55.04060096049417,-306749.0824778306,-5601.205775614449
complete,0.0,cash_to_accrual,fenelon_mexican,mexican_third_plus_selfid,0,-677151.9304039292,79.20284594690442,-436966.47403016954,-5536.098089523028
complete,0.0,cash_to_accrual,fenelon_mexican,mexican_third_plus_selfid,25,-503614.1325751051,55.04060096049417,-297881.67080890544,-5439.2877771854755
complete,0.0,cash_to_accrual,fenelon_mexican,third_plus_nh_white,0,-240185.4563737597,78.93040675292968,0.0,0.0
complete,0.0,cash_to_accrual,fenelon_mexican,third_plus_nh_white,25,-205732.46176619967,54.764830068072335,0.0,0.0
complete,0.0,cash_to_accrual,fenelon_mexican,all_native,0,-382953.4391601541,78.93040675292968,-142767.9827863944,-1808.783061682312
complete,0.0,cash_to_accrual,fenelon_mexican,all_native,25,-281585.29294287687,54.764830068072335,-75852.8311766772,-1385.0646680066861
complete,0.0,cash_to_accrual,fenelon_mexican,mexican_observed_total,0,-818139.2651376618,79.7575924103368,-577953.8087639022,-7322.321428965018
complete,0.0,cash_to_accrual,fenelon_mexican,mexican_observed_total,25,-598806.5115205229,55.602150387918876,-393074.0497543232,-7177.4905402926415
complete,0.03,none,terminal83,mexico_born,0,-270961.0447877925,31.38058577229341,-284115.5381743189,-9053.863437602577
complete,0.03,none,terminal83,mexico_born,25,-190097.20135848635,28.150935658187652,-248683.84003799054,-8833.945807611593
complete,0.03,none,terminal83,mexican_second_gen,0,-253690.51700281943,31.38058577229341,-266845.0103893459,-8503.50635025268
complete,0.03,none,terminal83,mexican_second_gen,25,-144149.73656392758,28.150935658187652,-202736.37524343177,-7201.763298566108
complete,0.03,none,terminal83,mexican_third_plus_selfid,0,-168043.06461003426,31.38058577229341,-181197.55799656067,-5774.192977511078
complete,0.03,none,terminal83,mexican_third_plus_selfid,25,-99949.32248536269,28.150935658187652,-158535.96116486687,-5631.640919144971
complete,0.03,none,terminal83,third_plus_nh_white,0,13154.493386526421,31.38058577229341,0.0,0.0
complete,0.03,none,terminal83,third_plus_nh_white,25,58586.63867950419,28.150935658187652,0.0,0.0
complete,0.03,none,terminal83,all_native,0,-62043.061702115796,31.38058577229341,-75197.55508864221,-2396.308202603271
complete,0.03,none,terminal83,all_native,25,7648.858083524857,28.150935658187652,-50937.78059597933,-1809.452489056582
complete,0.03,none,terminal83,mexican_observed_total,0,-227634.59907783754,31.38058577229341,-240789.09246436396,-7673.186670624925
complete,0.03,none,terminal83,mexican_observed_total,25,-154049.00424874242,28.150935658187652,-212635.6429282466,-7553.412984566355
complete,0.03,none,common_white,mexico_born,0,-261314.88300049305,30.448598719809517,-277621.3667862303,-9117.705853754542
complete,0.03,none,common_white,mexico_born,25,-174280.6334500791,26.765846735420713,-240201.1062449939,-8974.164300474851
complete,0.03,none,common_white,mexican_second_gen,0,-244612.17294702164,30.448598719809517,-260918.65673275886,-8569.151544008759
complete,0.03,none,common_white,mexican_second_gen,25,-129038.09882358389,26.765846735420713,-194958.57161849868,-7283.85593572496
complete,0.03,none,common_white,mexican_third_plus_selfid,0,-159761.24892026902,30.448598719809517,-176067.73270600624,-5782.457653509636
complete,0.03,none,common_white,mexican_third_plus_selfid,25,-85136.61005099434,26.765846735420713,-151057.0828459091,-5643.650445252195
complete,0.03,none,common_white,third_plus_nh_white,0,16306.48378573722,30.448598719809517,0.0,0.0
complete,0.03,none,common_white,third_plus_nh_white,25,65920.4727949148,26.765846735420713,0.0,0.0
complete,0.03,none,common_white,all_native,0,-57272.97886218299,30.448598719809517,-73579.46264792021,-2416.513919901681
complete,0.03,none,common_white,all_native,25,17091.749448211973,26.765846735420713,-48828.72334670282,-1824.2921223218802
complete,0.03,none,common_white,mexican_observed_total,0,-218521.7842673403,30.448598719809517,-234828.2680530775,-7712.284897376931
complete,0.03,none,common_white,mexican_observed_total,25,-138592.7769727606,26.765846735420713,-204513.24976767538,-7640.828694465765
complete,0.03,none,group_specific,mexico_born,0,-266455.85427545715,30.710301514419616,-282762.3380611944,-9286.546834657202
complete,0.03,none,group_specific,mexico_born,25,-185578.31184812236,27.37146360409304,-251498.78464303716,-9396.257369665613
complete,0.03,none,group_specific,mexican_second_gen,0,-250226.61150687965,30.710301514419616,-266533.09529261687,-8753.542248209058
complete,0.03,none,group_specific,mexican_second_gen,25,-141295.02512936652,27.37146360409304,-207215.4979242813,-7741.787509007204
complete,0.03,none,group_specific,mexican_third_plus_selfid,0,-165664.22350851443,30.710301514419616,-181970.70729425165,-5976.324525432547
complete,0.03,none,group_specific,mexican_third_plus_selfid,25,-97885.5429722657,27.37146360409304,-163806.01576718048,-6119.96389975614
complete,0.03,none,group_specific,third_plus_nh_white,0,16306.48378573722,30.448598719809517,0.0,0.0
complete,0.03,none,group_specific,third_plus_nh_white,25,65920.4727949148,26.765846735420713,0.0,0.0
