year,crimeType,victim_race,rate,rateSE,rateLB,rateUB,count,countSE,countLB,countUB,sampleSizeUnwt,countFlag,rateFlag
1998,Rape/sexual assault,Hispanic,0.8,0.35,0.16,1.53,18351,7614.0,3428.0,33274.0,7,1,1
1998,Rape/sexual assault,Other,0.5,0.37,0.0,1.24,4500,3267.0,0.0,10903.0,1,1,1
1998,Rape/sexual assault,White,1.8,0.29,1.25,2.4,300555,48235.0,206017.0,395093.0,86,0,0
1998,Robbery,Black,6.2,1.18,3.91,8.54,165435,32033.0,102652.0,228219.0,45,0,0
1998,Robbery,Hispanic,6.3,1.27,3.83,8.83,137401,28242.0,82048.0,192755.0,48,0,0
1998,Robbery,Other,4.5,1.39,1.8,7.26,39670,12414.0,15339.0,64002.0,15,0,0
1998,Robbery,White,3.8,0.49,2.86,4.77,628207,80513.0,470404.0,786009.0,182,0,0
1998,Simple assault,Black,29.0,3.31,22.52,35.5,771390,92946.0,589220.0,953560.0,177,0,0
1998,Simple assault,Hispanic,29.6,3.56,22.64,36.61,642877,81822.0,482509.0,803246.0,164,0,0
1998,Simple assault,Other,39.5,5.63,28.46,50.52,345997,53166.0,241793.0,450201.0,55,0,0
1998,Simple assault,White,39.9,2.48,34.99,44.73,6570048,413347.0,5759903.0,7380193.0,1515,0,0
1998,Violent crime excluding simple assault,Black,24.4,2.95,18.59,30.15,648143,82290.0,486857.0,809429.0,151,0,0
1998,Violent crime excluding simple assault,Hispanic,17.2,2.48,12.32,22.04,372752,55982.0,263029.0,482475.0,106,0,0
1998,Violent crime excluding simple assault,Other,21.2,3.76,13.8,28.55,185506,34632.0,117629.0,253384.0,40,0,0
1998,Violent crime excluding simple assault,White,15.0,1.27,12.52,17.5,2473838,210311.0,2061635.0,2886040.0,683,0,0
1998,Violent victimization,Black,53.4,4.95,43.68,63.08,1419533,142532.0,1140176.0,1698890.0,328,0,0
1998,Violent victimization,Hispanic,46.8,4.81,37.37,56.24,1015629,112701.0,794740.0,1236519.0,270,0,0
1998,Violent victimization,Other,60.7,7.4,46.16,75.17,531503,71647.0,391078.0,671929.0,95,0,0
1998,Violent victimization,White,54.9,3.07,48.84,60.89,9043885,513137.0,8038156.0,10049615.0,2198,0,0
1999,Aggravated assault,Black,13.7,2.16,9.47,17.94,370633,60179.0,252685.0,488581.0,80,0,0
1999,Aggravated assault,Hispanic,10.3,1.9,6.58,14.02,236524,44669.0,148975.0,324073.0,70,0,0
1999,Aggravated assault,Other,5.1,1.7,1.74,8.41,46688,15876.0,15571.0,77805.0,17,0,0
1999,Aggravated assault,White,7.9,0.85,6.24,9.58,1307975,141475.0,1030689.0,1585262.0,323,0,0
1999,Personal theft/Larceny,Black,1.9,0.63,0.71,3.16,52286,17024.0,18919.0,85653.0,11,0,0
1999,Personal theft/Larceny,Hispanic,1.5,0.56,0.37,2.58,33830,13044.0,8265.0,59396.0,13,0,0
1999,Personal theft/Larceny,Other,1.3,0.76,0.0,2.79,11915,7043.0,0.0,25718.0,5,1,1
1999,Personal theft/Larceny,White,0.8,0.19,0.47,1.23,140350,31779.0,78064.0,202636.0,50,0,0
1999,Rape/sexual assault,Black,3.3,0.87,1.58,4.97,88575,23676.0,42172.0,134979.0,19,0,0
1999,Rape/sexual assault,Hispanic,1.9,0.65,0.6,3.16,43204,15139.0,13533.0,72875.0,12,0,0
1999,Rape/sexual assault,Other,1.4,0.8,0.0,2.99,13050,7423.0,0.0,27598.0,5,1,1
1999,Rape/sexual assault,White,2.7,0.41,1.89,3.51,446632,68189.0,312984.0,580279.0,91,0,0
1999,Robbery,Black,10.7,1.84,7.11,14.33,289886,51097.0,189737.0,390035.0,60,0,0
1999,Robbery,Hispanic,6.9,1.47,4.04,9.81,159089,34465.0,91539.0,226640.0,49,0,0
1999,Robbery,Other,2.6,1.13,0.34,4.78,23529,10490.0,2969.0,44088.0,9,1,1
1999,Robbery,White,3.3,0.47,2.38,4.23,546655,78129.0,393525.0,699785.0,162,0,0
1999,Simple assault,Black,28.7,3.49,21.84,35.51,775353,99006.0,581304.0,969402.0,166,0,0
1999,Simple assault,Hispanic,22.3,3.12,16.16,28.38,511561,74709.0,365133.0,657989.0,144,0,0
1999,Simple assault,Other,17.6,3.65,10.47,24.8,162130,34891.0,93744.0,230516.0,44,0,0
1999,Simple assault,White,33.7,2.29,29.26,38.22,5579233,381450.0,4831604.0,6326862.0,1268,0,0
1999,Violent crime excluding simple assault,Black,27.7,3.41,21.02,34.39,749095,96715.0,559537.0,938652.0,159,0,0
1999,Violent crime excluding simple assault,Hispanic,19.1,2.82,13.57,24.64,438817,67385.0,306744.0,570889.0,131,0,0
1999,Violent crime excluding simple assault,Other,9.1,2.42,4.31,13.8,83266,22768.0,38642.0,127891.0,31,0,0
1999,Violent crime excluding simple assault,White,13.9,1.25,11.46,16.37,2301262,208408.0,1892790.0,2709734.0,576,0,0
1999,Violent victimization,Black,56.4,5.38,45.84,66.92,1524447,157126.0,1216486.0,1832409.0,325,0,0
1999,Violent victimization,Hispanic,41.4,4.64,32.29,50.48,950378,113729.0,727473.0,1173282.0,275,0,0
1999,Violent victimization,Other,26.7,4.73,17.42,35.96,245396,45766.0,155696.0,335096.0,75,0,0
1999,Violent victimization,White,47.7,2.88,42.02,53.29,7880495,481220.0,6937321.0,8823669.0,1844,0,0
2000,Aggravated assault,Black,7.6,1.44,4.81,10.45,209220,40337.0,130160.0,288279.0,60,0,0
2000,Aggravated assault,Hispanic,6.2,1.31,3.67,8.8,152826,32663.0,88807.0,216845.0,47,0,0
2000,Aggravated assault,Other,6.2,1.83,2.64,9.8,57217,17140.0,23623.0,90811.0,16,0,0
2000,Aggravated assault,White,6.9,0.78,5.38,8.45,1145475,129917.0,890843.0,1400107.0,311,0,0
2000,Personal theft/Larceny,Black,1.8,0.57,0.71,2.95,50145,15749.0,19277.0,81012.0,13,0,0
2000,Personal theft/Larceny,Hispanic,2.4,0.7,0.99,3.72,57761,17245.0,23962.0,91560.0,21,0,0
2000,Personal theft/Larceny,Other,1.9,0.88,0.18,3.62,17459,8152.0,1482.0,33437.0,7,1,1
2000,Personal theft/Larceny,White,0.9,0.19,0.52,1.28,148592,32056.0,85764.0,211421.0,57,0,0
2000,Rape/sexual assault,Black,1.2,0.44,0.36,2.1,33783,12261.0,9753.0,57814.0,11,0,0
2000,Rape/sexual assault,Hispanic,0.5,0.26,0.0,0.98,11588,6368.0,0.0,24070.0,4,1,1
2000,Rape/sexual assault,Other,1.2,0.66,0.0,2.47,10811,6110.0,0.0,22787.0,3,1,1
2000,Rape/sexual assault,White,1.9,0.32,1.25,2.5,310564,52744.0,207188.0,413940.0,72,0,0
2000,Robbery,Black,7.3,1.4,4.59,10.09,201322,39303.0,124289.0,278356.0,55,0,0
2000,Robbery,Hispanic,9.8,1.76,6.35,13.25,240233,44291.0,153424.0,327042.0,48,0,0
2000,Robbery,Other,2.0,0.9,0.21,3.73,18099,8332.0,1768.0,34430.0,7,1,1
2000,Robbery,White,2.6,0.39,1.8,3.35,426468,65541.0,298011.0,554926.0,136,0,0
2000,Simple assault,Black,23.8,3.06,17.78,29.77,651767,87821.0,479640.0,823894.0,158,0,0
2000,Simple assault,Hispanic,23.7,3.15,17.47,29.83,579798,80994.0,421053.0,738543.0,154,0,0
2000,Simple assault,Other,12.6,2.85,6.97,18.14,115508,27113.0,62367.0,168649.0,29,0,0
2000,Simple assault,White,26.2,1.96,22.34,30.03,4337922,327531.0,3695972.0,4979871.0,1045,0,0
2000,Violent crime excluding simple assault,Black,16.2,2.37,11.56,20.86,444325,67415.0,312193.0,576457.0,126,0,0
2000,Violent crime excluding simple assault,Hispanic,16.5,2.48,11.64,21.38,404647,63218.0,280742.0,528553.0,99,0,0
2000,Violent crime excluding simple assault,Other,9.4,2.36,4.73,14.0,86127,22350.0,42322.0,129933.0,26,0,0
2000,Violent crime excluding simple assault,White,11.4,1.1,9.2,13.52,1882507,183615.0,1522629.0,2242386.0,519,0,0
2000,Violent victimization,Black,40.0,4.31,31.54,48.43,1096092,125993.0,849151.0,1343033.0,284,0,0
2000,Violent victimization,Hispanic,40.2,4.46,31.41,48.91,984446,116921.0,755285.0,1213606.0,253,0,0
2000,Violent victimization,Other,21.9,4.07,13.93,29.9,201635,39345.0,124521.0,278749.0,55,0,0
2000,Violent victimization,White,37.5,2.5,32.64,42.45,6220429,419248.0,5398718.0,7042140.0,1564,0,0
2001,Aggravated assault,Black,9.2,1.54,6.19,12.22,256019,43735.0,170300.0,341739.0,68,0,0
2001,Aggravated assault,Hispanic,6.6,1.28,4.05,9.08,166980,33185.0,101939.0,232020.0,55,0,0
2001,Aggravated assault,Other,2.7,1.1,0.51,4.8,24704,10272.0,4571.0,44836.0,9,1,1
2001,Aggravated assault,White,5.6,0.62,4.4,6.83,935964,103506.0,733096.0,1138831.0,271,0,0
2001,Personal theft/Larceny,Black,0.8,0.35,0.13,1.5,22591,9748.0,3485.0,41697.0,7,1,1
2001,Personal theft/Larceny,Hispanic,0.7,0.32,0.03,1.31,17068,8284.0,832.0,33304.0,6,1,1
2001,Personal theft/Larceny,Other,1.7,0.86,0.06,3.42,16184,8034.0,438.0,31931.0,6,1,1
2001,Personal theft/Larceny,White,0.8,0.17,0.46,1.13,132524,28639.0,76392.0,188657.0,44,0,0
2001,Rape/sexual assault,Black,3.8,0.88,2.06,5.51,105227,24760.0,56698.0,153756.0,12,0,0
2001,Rape/sexual assault,Hispanic,2.5,0.7,1.11,3.87,63239,18051.0,27859.0,98619.0,10,1,1
2001,Rape/sexual assault,Other,1.7,0.85,0.04,3.35,15747,7909.0,247.0,31248.0,6,1,1
2001,Rape/sexual assault,White,1.8,0.29,1.19,2.31,292365,47694.0,198886.0,385844.0,62,0,0
2001,Robbery,Black,3.6,0.85,1.92,5.26,99879,23963.0,52912.0,146846.0,27,0,0
2001,Robbery,Hispanic,6.2,1.24,3.8,8.67,158682,32120.0,95728.0,221636.0,48,0,0
2001,Robbery,Other,2.5,1.05,0.41,4.53,22952,9839.0,3668.0,42235.0,8,1,1
2001,Robbery,White,2.3,0.34,1.64,2.99,386224,57275.0,273967.0,498481.0,136,0,0
2001,Simple assault,Black,19.1,2.46,14.3,23.93,531587,70801.0,392819.0,670356.0,146,0,0
2001,Simple assault,Hispanic,25.9,3.07,19.87,31.91,658646,81709.0,498499.0,818793.0,160,0,0
2001,Simple assault,Other,23.0,4.0,15.12,30.82,213578,38881.0,137372.0,289783.0,41,0,0
